内容,发布日期,发布人,url,转发数
经查，此微博配图称“当年支援汶川地震的救灾物资都没发完，全烂在仓库里了 ”不实，据央视网：部分物资在运输途中突然下雨，被淋湿后未保护处理导致霉变。详情：http://news.cntv.cn/2014/04/29/ARTI1398773783952383.shtml。被投诉人言论构成“发布不实信息”。现根据《微博投诉操作细则》（http://service.account.weibo.com/roles/xize）第19条，对被投诉人处理如下：扣除信用积分5分、禁言7天、禁被关注7天。上述处理在公布后60分钟内生效,2月18日,扒圈少女爱吃瓜 ,https://weibo.com/6171732604/IuNfEBqkV?type=comment#_rnd1604196271016,135
经查，该微博称“乱上街的被抓去体育馆考黄冈密卷”不实，@黄冈政府门户网 已辟谣：武穴市武穴市疫情防控指挥部工作人员回应称，学习内容主要是这次新冠肺炎的防疫知识，比如公共场所应该怎么防护，我们会准备好操作文本，学习时间也不会很久，详情：https://weibo.com/5308838679/IuD9zl5OW，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分。上述处理在公布后60分钟内生效。,2月16日,橘子娱乐 ,https://weibo.com/5291824241/Iuw7fA7E4?type=comment#_rnd1604196711811,486
经查，该微博称“乱上街的被抓去体育馆考黄冈密卷”不实，@黄冈政府门户网 已辟谣：武穴市武穴市疫情防控指挥部工作人员回应称，学习内容主要是这次新冠肺炎的防疫知识，比如公共场所应该怎么防护，我们会准备好操作文本，学习时间也不会很久，详情：https://weibo.com/5308838679/IuD9zl5OW，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,2月16日,我不吃香菜捏 ,https://weibo.com/6761728963/IuvMxobEP?type=comment#_rnd1604196775505,250
经查，该微博称“乱上街的被抓去体育馆考黄冈密卷”不实，@黄冈政府门户网 已辟谣：武穴市武穴市疫情防控指挥部工作人员回应称，学习内容主要是这次新冠肺炎的防疫知识，比如公共场所应该怎么防护，我们会准备好操作文本，学习时间也不会很久，详情：https://weibo.com/5308838679/IuD9zl5OW，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,2月16日,五行属二 ,https://weibo.com/1790597487/Iuw5YnvnL?type=comment#_rnd1604196815986,5878
经查，此微博发视频称“武汉一天集中2次消杀”不实，实际镜头是洛阳全城消毒，第七秒钟画面右侧有明显的“洛阳市民之家”霓虹灯，该建筑位于洛阳新区开元大道。@洛阳晚报 已报道此事。详情：https://weibo.com/1260407871/ItrsdgF6d，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效,2月12日,扑街食蕉拉你,https://weibo.com/5492150539/ItQzsCINP?type=comment,198
经查，该视频所称“武汉重症隔离病房里，一个小朋友对医生说的话”，实为电影《倾城之泪》中的片段，出现在影片第30分30秒，影片地址：http://t.cn/A6Pm2ILJ，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,2月7日,第三华佗 ,https://weibo.com/2528366075/It8EufXmN?type=comment,55
经查，此微博称“武汉市古田四路某小区今天上午在家满屋喷洒酒精消毒，用明火起暖”不实，实为句容市一处门面房发生火灾。详情：https://weibo.com/2097024354/IsXfvfboI，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,2月7日,张亚梅整形医生,https://weibo.com/2418358297/It4xXeTYQ?type=comment#_rnd1604228682536,54
经查，此微博称“2月4日：429死/确诊20471≈2.1%，2月5日：493死/确诊24441≈2.1%神奇的病毒，还是个数学高手”不实，据新浪新闻肺炎实时动态： 2月4日确诊 20523，死亡 426，2月5日全国确诊24433，死亡 493。此微博多项数据为作者伪造，详情：https://news.sina.cn/zt_d/yiqing0121，被举报人言论属于构成“发布不实信息”。现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：禁言15天。上述处理在公布后60分钟内生效。,2月6日,金山二姐,https://weibo.com/1726924044/IsXvm61SV?type=comment#_rnd1604228777465,79
经查，该微博发视频称“武汉因感染被隔离的宝宝，看到医生后求抱抱”不实，@央视新闻 已报道：孩子的父亲说，自己孩子得的不是肺炎，是白血病。详情：https://weibo.com/2656274875/IsUsem5K3，被举报人言论属于构成“发布不实信息”，且情节恶劣。现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言30天，禁被关注30天。上述处理在公布后60分钟内生效。,2月5日,军控团,https://weibo.com/5889124938/IsHpmkE51?type=comment,504
经查，此微博称“办过万人宴的武汉百步亭社区，组织的中百超市免费发菜活动，于是看到排队聚集领菜的人群望不到头”不实，据@武汉发布：实为市民排队等候测体温进店。详情：https://weibo.com/2759348142/IsER55nMC，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,2月4日,张不三 ,https://weibo.com/1776420361/IsEyB7oD3?type=comment#_rnd1604229650865,64
经查，此微博称“经特朗普总统特批，同意将该药物专利豁免，向中国紧急公开药物分子结构。至4月27日，允许中国仿制此药用于治疗冠状病毒患者”不实，据@环球时报 记者发现这事并不存在。详情：https://weibo.com/1974576991/IsuVnAjmV，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效,2月3日,谈心君,https://weibo.com/5721200433/IsoWvliqT?type=comment,80
经查，此视频称“顺丰快递员拦截N95口罩”不实，@盘龙警博 已发布警情通报：张某杰、苗某任两人非顺丰员工，口罩叫卖视频为自编自演。详情：https://weibo.com/1960075653/IrSFnj3oa，被投诉人言论构成“发布不实信息”。现根据《微博投诉操作细则》（http://service.account.weibo.com/roles/xize）第19条，对被投诉人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,1月29日,马文先生,https://weibo.com/6154171029/IrLE6AiZV?type=comment,475
经查，此微博称“同济应急小组组长进行专业指导”不实，@武汉新闻广播 已辟谣：记者向华中科技大学同济医学院附属同济医院求证，此消息不实。详情：https://weibo.com/2286386250/Irakkh9XT。被投诉人言论构成“发布不实信息”。现根据《微博投诉操作细则》（http://service.account.weibo.com/roles/xize）第19条，对被投诉人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,1月27日,武汉刘正涛 ,https://weibo.com/2014878391/IrnSL61Lr?type=comment,74
经查，此微博称“在泰的中国湖北游客的签证最长可以延期两个月”不实，@泰国头条新闻 已辟谣：泰移民局表示“落地签可以续签15天、旅游签续签60天”纯属谣言。详情：https://weibo.com/3500618431/Irjy8yW5R。被投诉人言论构成“发布不实信息”。现根据《微博投诉操作细则》（http://service.account.weibo.com/roles/xize）第19条，对被投诉人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,1月26日,大越楚卿 ,https://weibo.com/6513039271/Irhj441G7?type=comment#_rnd1604235791202,168
经查，此微博称“湖北游客若不想回国，泰国移民局可配合最长续签两个月”不实，@泰国头条新闻 已辟谣：泰移民局表示“落地签可以续签15天、旅游签续签60天”纯属谣言。详情：https://weibo.com/3500618431/Irjy8yW5R。被投诉人言论构成“发布不实信息”。现根据《微博投诉操作细则》（http://service.account.weibo.com/roles/xize）第19条，对被投诉人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,1月26日,泰国事儿君,https://weibo.com/1768564452/Irh0MiBEf?type=comment#_rnd1604235834797,1722
