id,mid,uid,parent,text,time
4589622380732008,4589622380732008,5511008040,NULL,"
                                                                                                                        南京清洁工带上电子手环，休息二十分钟就触发警报好像本来是用来监测生命体征，怎么落实下来感觉变味儿了 ​​​​                                            ","
                                 1月4日 12:31            	                                            已编辑
                                                "
4589699791062042,4589699791062042,6532283229,4589622380732008,？？？,1月4日 17:39
4589698268534077,4589698268534077,7384794214,4589622380732008,转发微博,1月4日 17:33
4589696396833831,4589696396833831,5480089883,4589622380732008,。。,1月4日 17:25
4589696254477170,4589696254477170,6867297187,4589622380732008,我还以为不实消息是  手环触发警报  这事是假的,1月4日 17:25
4589695763218577,4589695763218577,7195118236,4589622380732008,不觉得自己会当清洁工但是肯定会当强奸犯呗,1月4日 17:23
4589695423490239,4589695423490239,5285172179,4589622380732008,转发微博,1月4日 17:22
4589693041116290,4589693041116290,7314959294,4589622380732008,转发微博,1月4日 17:12
4589692843997405,4589692843997405,5143469656,4589622380732008,转发,1月4日 17:11
4589692618802933,4589692618802933,5267677577,4589622380732008,这个辟谣里的举证也太搞笑了吧，几个人分别说了18 19 20年三个时间段，所以到底是哪个？连个截图、链接都没有，几个人空口说是过期新闻它就是过期新闻了？,1月4日 17:10
4589690848026432,4589690848026432,7269936832,4589622380732008,死吧一起死吧,1月4日 17:03
4589690328715250,4589690328715250,2639313747,4589622380732008,呃呃呃呃呃呃呃呃,1月4日 17:01
4589689145131412,4589689145131412,3178545682,4589622380732008,,1月4日 16:57
4589688583624102,4589688583624102,5317555083,4589622380732008,转发微博,1月4日 16:54
4589688327506437,4589688327506437,6395048229,4589622380732008,看了看举报的信息，原来是真真实实发生过只不过是旧闻，还是震惊,1月4日 16:53
4589687572795282,4589687572795282,5421383039,4589622380732008,转发微博,1月4日 16:50
4589687182197937,4589687182197937,1772301580,4589622380732008,魔幻,1月4日 16:49
4589687106448746,4589687106448746,chevalierl,4589622380732008,18年的新闻21年发所以是“不实”，既然这样那20年的疫情21年说应该也是“不实”咯？——哦对不起，我忘了已经“不实”过一次了,1月4日 16:49
