id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"4477300231581133","4477300231581133",5024184433,"4477298525176167",1582955022,0,0,0,"转发微博","转发微博",1391512246,426,27,3,98166,709,"jyfd奋斗","jyfd奋斗","我的中国梦","m","11","4",false,"",-1,"北京 宣武区","https://tva1.sinaimg.cn/crop.0.0.540.540.180/005u0XSNjw8ehak330p3rj30f00f0t9g.jpg?KID=imgbed,tva&Expires=1585378667&ssig=kGZJ4fUSwA",false,null,null
"4477300240268972","4477300240268972",3225330062,"4477298525176167",1582955024,0,0,0,"转发微博","转发微博",1363244193,102,4,1,1136,280,"白猴子1978","白猴子1978","","f","11","5",false,"",-1,"北京 朝阳区","https://tva1.sinaimg.cn/crop.0.0.180.180.180/c03ea18ejw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1585378667&ssig=wsJDBU%2BzRH",true,null,null
"4477300265238671","4477300265238671",1273494483,"4477298525176167",1582955029,0,0,0,"转发微博","转发微博",1267109951,1612,32,244,34599,1063,"通信赵广","通信赵广","华为公司一定会成为手机行业的NO1，我看好华为，我是华为的铁粉。","m","41","1000",false,"",-1,"河南","https://tva2.sinaimg.cn/crop.0.0.511.511.180/4be7fbd3jw8ejwziktx93j20e70e8765.jpg?KID=imgbed,tva&Expires=1585378667&ssig=nVnHDCkOIj",true,null,null
"4477300270033409","4477300270033409",6240171752,"4477298525176167",1582955031,0,0,0,"说明官僚主义已经根深蒂固了，制度不改革其他的都是面上的。","说明官僚主义已经根深蒂固了，制度不改革其他的都是面上的。",1495355451,180,5,3,443,141,"斜风细雨无需归111","斜风细雨无需归111","有缘即住无缘去，一任清风送白云。","m","35","7",false,"",-1,"福建 南平","https://tvax4.sinaimg.cn/crop.0.0.664.664.180/006Oj7July8g3f4qwgvhdj30ig0ih0tx.jpg?KID=imgbed,tva&Expires=1585378667&ssig=WZQ1U0KVKS",true,null,null
"4477300353121891","4477300353121891",3482910710,"4477298525176167",1582955051,0,0,0,"转发微博","转发微博",1369127640,375,9,347,1481,176,"wgzylz","wgzylz","老老实实工作，简简单单生活","m","100","1000",false,"",-1,"其他","https://tva4.sinaimg.cn/crop.160.0.960.960.180/cf98fff6jw8e7ald27s16j20zk0qotck.jpg?KID=imgbed,tva&Expires=1585378667&ssig=dvnI2O4RTz",true,null,null
"4477300404178966","4477300404178966",6185283141,"4477298525176167",1582955062,0,0,0,"转发微博","转发微博",1490686104,156,11,4059,5813,412,"马颊河村夫","马颊河村夫","","m","100","1000",false,"",-1,"其他","https://tvax3.sinaimg.cn/crop.319.80.799.799.180/006KAOHjly8ftm9fbtkptj313z0qo464.jpg?KID=imgbed,tva&Expires=1585378667&ssig=sXv7aLF2s8",true,null,null
"4477300408033444","4477300408033444",5024184433,"4477298525176167",1582955064,0,0,0,"","//@罗昌平:肯定涉及科研经费的分配权，但公费医疗不如高级官员//@阿波罗太阳神ZMX:众所周知，院士不只是学术位置，更是政治地位",1391512246,426,27,3,98166,709,"jyfd奋斗","jyfd奋斗","我的中国梦","m","11","4",false,"",-1,"北京 宣武区","https://tva1.sinaimg.cn/crop.0.0.540.540.180/005u0XSNjw8ehak330p3rj30f00f0t9g.jpg?KID=imgbed,tva&Expires=1585378667&ssig=kGZJ4fUSwA",false,null,null
"4477300479320834","4477300479320834",6568512542,"4477298525176167",1582955081,0,0,0,"转发微博","转发微博",1528375954,477,371,1,304,436,"竹金中","竹金中","","m","100","1000",false,"",-1,"其他","https://tvax2.sinaimg.cn/crop.0.0.664.664.180/007awOaGly8gcmvoi8o0tj30ig0ig77e.jpg?KID=imgbed,tva&Expires=1585378667&ssig=42c8reA8jQ",true,null,null
"4477300517243611","4477300517243611",2112729803,"4477298525176167",1582955090,0,0,0,"“形式主义，官僚主义”","“形式主义，官僚主义”",1304134910,453,72,13,1311,643,"热心市民王博士","热心市民王博士","光棍  有姘头 别瞎给我评论，你不配","m","14","1",false,"",220,"山西 太原","https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/7dedb2cbly8gd52bfu9tcj20u00u0js3.jpg?KID=imgbed,tva&Expires=1585378667&ssig=0oibKDifUR",true,null,null
"4477300538289591","4477300538289591",5888668495,"4477298525176167",1582955095,0,0,0,"转发微博","转发微博",1459013685,113,2,33,988,503,"青果巷的小册佬","青果巷的小册佬","","m","32","1000",false,"",-1,"江苏","https://tvax4.sinaimg.cn/crop.0.0.896.896.180/006qwfG7ly8gbk545hdcgj30ow0owjs8.jpg?KID=imgbed,tva&Expires=1585378667&ssig=nDq0H3Y2hU",true,null,null
"4477300579799165","4477300579799165",1896714635,"4477298525176167",1582955105,0,0,0,"转发微博","转发微博",1292673568,145,12,88,5101,320,"reallygrasp","reallygrasp","生命在于运动！","m","31","15",false,"",-1,"上海 浦东新区","https://tva3.sinaimg.cn/crop.0.0.180.180.180/710d918bjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1585378667&ssig=dtImuguVAj",true,null,null
"4477300722691041","4477300722691041",7379183792,"4477298525176167",1582955139,0,0,0,"转发微博","转发微博",1580008649,1,0,0,70,221,"妄言正道是沧桑","妄言正道是沧桑","我们度尽的年岁好像一声叹息！","m","100","1000",false,"",-1,"其他","https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/0083oiNqly8gbifsn95nzj30u00u0763.jpg?KID=imgbed,tva&Expires=1585378667&ssig=A6LSAX68FM",true,null,null
"4477300747450976","4477300747450976",1926912005,"4477298525176167",1582955145,0,0,0,"转发微博","转发微博",1295421598,610,94,161,1424,228,"起名真是费死劲了","起名真是费死劲了","","f","62","24",false,"",-1,"甘肃 定西","https://tvax3.sinaimg.cn/crop.0.0.828.828.180/72da5805ly8g2cys8uo1zj20n00n0my9.jpg?KID=imgbed,tva&Expires=1585378667&ssig=A23GvW1NOV",true,null,null
"4477300756647943","4477300756647943",2004509325,"4477298525176167",1582955147,0,0,0,"转发微博","转发微博",1299155907,253,10,53,9293,272,"素餐者","素餐者","喜爱幻想","m","61","4",false,"",-1,"陕西 咸阳","https://tva4.sinaimg.cn/crop.0.0.180.180.180/777a628djw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1585378667&ssig=KR7r71QUgr",true,null,null
"4477300790052660","4477300790052660",7370905475,"4477298525176167",1582955155,0,0,0,"院士官僚化，关系化，造就一批除了当院士什么都不是的人，就像一批除了会当官连人都不是的一堆一样。","院士官僚化，关系化，造就一批除了当院士什么都不是的人，就像一批除了会当官连人都不是的一堆一样。",1578717083,10,4,0,1203,708,"我和天地人","我和天地人","","m","11","1000",false,"",-1,"北京","https://tvax1.sinaimg.cn/default/images/default_avatar_male_180.gif?KID=imgbed,tva&Expires=1585378667&ssig=f%2Fu%2BSCNpN5",true,null,null
"4477300810471839","4477300810471839",5127342910,"4477298525176167",1582955160,0,0,0,"转发","转发",1411881982,174,43,1288,1448,623,"玛丽的加速器","玛丽的加速器","冷静","f","100","1000",false,"",-1,"其他","https://tvax4.sinaimg.cn/crop.0.0.667.667.180/005AZO7cly8gac8wirurpj30ij0ijgms.jpg?KID=imgbed,tva&Expires=1585378667&ssig=NDtH3PUgCT",false,null,null
"4477300899205828","4477300899205828",1067964872,"4477298525176167",1582955180,0,2,0,"转发微博","转发微博",1381921734,1612,932,4899,17162,2962,"k踏浪k","k踏浪k","永远不要对他人的苦难无动于衷，因为谁也无法保证下一个不是你我","m","36","1",false,"",-1,"江西 南昌","https://tvax4.sinaimg.cn/crop.0.0.664.664.180/3fa7d9c8ly8fyk4nf36kxj20ig0igt91.jpg?KID=imgbed,tva&Expires=1585378667&ssig=zu%2FIa8ETro",false,null,null
"4477300924459046","4477300924459046",7011384447,"4477298525176167",1582955186,0,0,0,"嘘[闭嘴]","嘘[闭嘴]",1551152735,6,0,0,383,56,"fu傅777","fu傅777","","f","100","1000",false,"",-1,"其他","https://tvax4.sinaimg.cn/crop.0.0.996.996.180/007Ev3nVly8g5s2dwn6y1j30ro0rowhf.jpg?KID=imgbed,tva&Expires=1585378667&ssig=x%2BryE4cPO%2F",true,null,null
"4477300936058646","4477300936058646",1687413114,"4477298525176167",1582955189,0,0,0,"转发微博","转发微博",1264752218,866,111,66,19217,766,"两亩菜地","两亩菜地","人生追求无非就是弄个两亩菜地，每天能吃上三菜一汤！","m","11","1",false,"",-1,"北京 东城区","https://tva3.sinaimg.cn/crop.0.0.180.180.180/6493e17ajw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1585378667&ssig=YJatnDcLYi",true,null,null
